wvl (um), n, k
4.000000000000000222e-01 5.613000000000000433e+00 2.959999999999999853e-01
4.099999999999999756e-01 5.330000000000000071e+00 2.270000000000000073e-01
4.199999999999999845e-01 5.118999999999999773e+00 1.759999999999999898e-01
4.299999999999999933e-01 4.948999999999999844e+00 1.380000000000000115e-01
4.400000000000000022e-01 4.812000000000000277e+00 1.069999999999999979e-01
4.500000000000000111e-01 4.690999999999999837e+00 8.630200000000000371e-02
4.600000000000000200e-01 4.586999999999999744e+00 7.138100000000000001e-02
4.699999999999999734e-01 4.496999999999999886e+00 6.208600000000000230e-02
4.799999999999999822e-01 4.418999999999999595e+00 5.500399999999999734e-02
4.899999999999999911e-01 4.349999999999999645e+00 4.913100000000000106e-02
5.000000000000000000e-01 4.293999999999999595e+00 4.416500000000000287e-02
5.100000000000000089e-01 4.240999999999999659e+00 3.936699999999999922e-02
5.200000000000000178e-01 4.192999999999999616e+00 3.641500000000000292e-02
5.300000000000000266e-01 4.150999999999999801e+00 3.310799999999999854e-02
5.400000000000000355e-01 4.112000000000000099e+00 3.029499999999999901e-02
5.500000000000000444e-01 4.076999999999999957e+00 2.796799999999999981e-02
5.600000000000000533e-01 4.044999999999999929e+00 2.575799999999999965e-02
5.699999999999999512e-01 4.014999999999999680e+00 2.413099999999999967e-02
5.799999999999999600e-01 3.987999999999999989e+00 2.252399999999999888e-02
5.899999999999999689e-01 3.963000000000000078e+00 2.108099999999999904e-02
5.999999999999999778e-01 3.939999999999999947e+00 1.993400000000000033e-02
6.099999999999999867e-01 3.918000000000000149e+00 1.844600000000000059e-02
6.199999999999999956e-01 3.898000000000000131e+00 1.736700000000000049e-02
6.300000000000000044e-01 3.879000000000000004e+00 1.644400000000000028e-02
6.400000000000000133e-01 3.861000000000000210e+00 1.543199999999999954e-02
6.500000000000000222e-01 3.843999999999999861e+00 1.443099999999999938e-02
6.600000000000000311e-01 3.827999999999999847e+00 1.349799999999999958e-02
6.700000000000000400e-01 3.813000000000000167e+00 1.274300000000000085e-02
6.800000000000000488e-01 3.798000000000000043e+00 1.190500000000000065e-02
6.899999999999999467e-01 3.783999999999999808e+00 1.120099999999999915e-02
6.999999999999999556e-01 3.771999999999999797e+00 1.052799999999999916e-02
7.099999999999999645e-01 3.758999999999999897e+00 1.005699999999999997e-02
7.199999999999999734e-01 3.748000000000000220e+00 9.625699999999999187e-03
7.299999999999999822e-01 3.737000000000000099e+00 8.946100000000000232e-03
7.399999999999999911e-01 3.726999999999999869e+00 8.361999999999999642e-03
7.500000000000000000e-01 3.717000000000000082e+00 7.818500000000000796e-03
7.600000000000000089e-01 3.708000000000000185e+00 7.197000000000000272e-03
7.700000000000000178e-01 3.698999999999999844e+00 6.740200000000000011e-03
7.800000000000000266e-01 3.690999999999999837e+00 6.393300000000000198e-03
7.900000000000000355e-01 3.682999999999999829e+00 5.833999999999999776e-03
8.000000000000000444e-01 3.674999999999999822e+00 5.411299999999999964e-03
8.100000000000000533e-01 3.668000000000000149e+00 4.995499999999999940e-03
8.199999999999999512e-01 3.661000000000000032e+00 4.613400000000000140e-03
8.299999999999999600e-01 3.653999999999999915e+00 4.273400000000000115e-03
8.399999999999999689e-01 3.646999999999999797e+00 3.943900000000000183e-03
8.499999999999999778e-01 3.641000000000000014e+00 3.612000000000000193e-03
8.599999999999999867e-01 3.634999999999999787e+00 3.278099999999999938e-03
8.699999999999999956e-01 3.629999999999999893e+00 2.983899999999999834e-03
8.800000000000000044e-01 3.624000000000000110e+00 2.682100000000000196e-03
8.900000000000000133e-01 3.619000000000000217e+00 2.429300000000000122e-03
9.000000000000000222e-01 3.613999999999999879e+00 2.170099999999999894e-03
9.100000000000000311e-01 3.608999999999999986e+00 1.962499999999999835e-03
9.200000000000000400e-01 3.604000000000000092e+00 1.757099999999999938e-03
9.300000000000000488e-01 3.600000000000000089e+00 1.546700000000000028e-03
9.399999999999999467e-01 3.595000000000000195e+00 1.368899999999999935e-03
9.499999999999999556e-01 3.591000000000000192e+00 1.179300000000000096e-03
9.599999999999999645e-01 3.587000000000000188e+00 1.023700000000000001e-03
9.699999999999999734e-01 3.583000000000000185e+00 8.722499999999999785e-04
9.799999999999999822e-01 3.579000000000000181e+00 7.486599999999999505e-04
9.899999999999999911e-01 3.575000000000000178e+00 6.223799999999999602e-04
1.000000000000000000e+00 3.572000000000000064e+00 5.092999999999999654e-04
1.010000000000000009e+00 3.568000000000000060e+00 4.107100000000000030e-04
1.020000000000000018e+00 3.564999999999999947e+00 3.238599999999999791e-04
1.030000000000000027e+00 3.561999999999999833e+00 2.475299999999999831e-04
1.040000000000000036e+00 3.559000000000000163e+00 1.870399999999999981e-04
1.050000000000000044e+00 3.556000000000000050e+00 1.362000000000000038e-04
1.060000000000000053e+00 3.552999999999999936e+00 9.363099999999999852e-05
1.070000000000000062e+00 3.549999999999999822e+00 6.811800000000000071e-05
1.080000000000000071e+00 3.547000000000000153e+00 5.328500000000000228e-05
1.090000000000000080e+00 3.544999999999999929e+00 4.076799999999999998e-05
1.100000000000000089e+00 3.541999999999999815e+00 3.063699999999999822e-05
1.110000000000000098e+00 3.540000000000000036e+00 2.384900000000000155e-05
1.120000000000000107e+00 3.536999999999999922e+00 1.782499999999999959e-05
1.129999999999999893e+00 3.535000000000000142e+00 1.348800000000000029e-05
1.139999999999999902e+00 3.532000000000000028e+00 9.071800000000000117e-06
1.149999999999999911e+00 3.529999999999999805e+00 6.223000000000000389e-06
1.159999999999999920e+00 3.528000000000000025e+00 3.877000000000000319e-06
1.169999999999999929e+00 3.525999999999999801e+00 2.048299999999999938e-06
1.179999999999999938e+00 3.524000000000000021e+00 6.103599999999999677e-07
1.189999999999999947e+00 3.521999999999999797e+00 3.409100000000000000e-07
1.199999999999999956e+00 3.520000000000000018e+00 2.100800000000000124e-07
1.209999999999999964e+00 3.517999999999999794e+00 1.251800000000000132e-07
1.219999999999999973e+00 3.516999999999999904e+00 7.960899999999999506e-08
1.229999999999999982e+00 3.515000000000000124e+00 4.600399999999999954e-08
1.239999999999999991e+00 3.512999999999999901e+00 2.368199999999999990e-08
1.250000000000000000e+00 3.511000000000000121e+00 9.947200000000000557e-09
1.260000000000000009e+00 3.508999999999999897e+00 3.609600000000000026e-09
1.270000000000000018e+00 3.508000000000000007e+00 2.021300000000000041e-09
1.280000000000000027e+00 3.505999999999999783e+00 1.222300000000000008e-09
1.290000000000000036e+00 3.504999999999999893e+00 7.288500000000000215e-10
1.300000000000000044e+00 3.503000000000000114e+00 4.655299999999999940e-10
1.310000000000000053e+00 3.501999999999999780e+00 2.814700000000000113e-10
1.320000000000000062e+00 3.500000000000000000e+00 1.680699999999999945e-10
1.330000000000000071e+00 3.499000000000000110e+00 8.467000000000000333e-11
1.340000000000000080e+00 3.496999999999999886e+00 3.732199999999999788e-11
1.350000000000000089e+00 3.495999999999999996e+00 1.826300000000000003e-11
1.360000000000000098e+00 3.495000000000000107e+00 1.028099999999999951e-11
1.370000000000000107e+00 3.494000000000000217e+00 6.541300000000000006e-12
1.379999999999999893e+00 3.491999999999999993e+00 4.173000000000000091e-12
1.389999999999999902e+00 3.491000000000000103e+00 2.544100000000000034e-12
1.399999999999999911e+00 3.490000000000000213e+00 1.559699999999999907e-12
1.409999999999999920e+00 3.488999999999999879e+00 9.537399999999999326e-13
1.419999999999999929e+00 3.487999999999999989e+00 5.650000000000000159e-13
1.429999999999999938e+00 3.487000000000000099e+00 2.844899999999999823e-13
1.439999999999999947e+00 3.486000000000000210e+00 2.062599999999999966e-13
1.449999999999999956e+00 3.484999999999999876e+00 1.384599999999999977e-13
